cohort_month,cohort_size,month_1_retention,month_3_retention,month_6_retention
2023-01,6.0,266.66666666666663,116.66666666666667,66.66666666666666
2023-02,4.0,275.0,275.0,225.0
2023-03,2.0,500.0,550.0,450.0
2023-04,10.0,60.0,70.0,80.0
2023-05,8.0,137.5,212.5,87.5
2023-06,9.0,211.11111111111111,155.55555555555557,155.55555555555557
2023-07,11.0,118.18181818181819,72.72727272727273,154.54545454545453
2023-08,6.0,183.33333333333331,166.66666666666669,116.66666666666667
2023-09,9.0,155.55555555555557,122.22222222222223,188.88888888888889
2023-10,11.0,109.09090909090908,118.18181818181819,118.18181818181819
2023-11,7.0,314.2857142857143,185.71428571428572,200.0
2023-12,9.0,211.11111111111111,222.22222222222223,233.33333333333334
2024-01,10.0,160.0,120.0,240.0
2024-02,11.0,172.72727272727272,190.9090909090909,227.27272727272728
2024-03,5.0,400.0,380.0,580.0
2024-04,9.0,300.0,288.88888888888886,300.0
2024-05,9.0,211.11111111111111,344.44444444444446,277.77777777777777
2024-06,17.0,176.47058823529412,223.52941176470588,211.76470588235296
2024-07,14.0,285.7142857142857,314.2857142857143,0.0
2024-08,26.0,161.53846153846155,169.23076923076923,0.0
2024-09,24.0,179.16666666666669,183.33333333333331,0.0
2024-10,51.0,160.7843137254902,0.0,0.0
2024-11,48.0,206.25,0.0,0.0
2024-12,97.0,0.0,0.0,0.0
