cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-01,100.0,266.66666666666663,166.66666666666669,116.66666666666667,166.66666666666669,116.66666666666667,66.66666666666666,100.0,183.33333333333331,133.33333333333331,83.33333333333334,200.0,183.33333333333331,50.0,133.33333333333331,216.66666666666666,183.33333333333331,166.66666666666669,116.66666666666667,166.66666666666669,116.66666666666667,166.66666666666669,233.33333333333334,116.66666666666667
2023-02,100.0,275.0,325.0,275.0,275.0,175.0,225.0,200.0,325.0,275.0,175.0,200.0,250.0,150.0,225.0,325.0,350.0,350.0,325.0,200.0,300.0,275.0,300.0,0.0
2023-03,100.0,500.0,350.0,550.0,700.0,300.0,450.0,550.0,350.0,700.0,500.0,500.0,750.0,350.0,500.0,400.0,550.0,350.0,450.0,900.0,400.0,400.0,0.0,0.0
2023-04,100.0,60.0,50.0,70.0,60.0,70.0,80.0,80.0,70.0,100.0,100.0,80.0,120.0,100.0,150.0,120.0,150.0,60.0,110.00000000000001,70.0,120.0,0.0,0.0,0.0
2023-05,100.0,137.5,150.0,212.5,100.0,137.5,87.5,112.5,137.5,137.5,112.5,187.5,175.0,162.5,150.0,150.0,187.5,212.5,137.5,237.5,0.0,0.0,0.0,0.0
2023-06,100.0,211.11111111111111,100.0,155.55555555555557,122.22222222222223,166.66666666666669,155.55555555555557,155.55555555555557,122.22222222222223,166.66666666666669,211.11111111111111,155.55555555555557,133.33333333333331,166.66666666666669,166.66666666666669,144.44444444444443,111.11111111111111,155.55555555555557,133.33333333333331,0.0,0.0,0.0,0.0,0.0
2023-07,100.0,118.18181818181819,81.81818181818183,72.72727272727273,100.0,163.63636363636365,154.54545454545453,136.36363636363635,145.45454545454547,145.45454545454547,118.18181818181819,81.81818181818183,127.27272727272727,127.27272727272727,136.36363636363635,118.18181818181819,81.81818181818183,109.09090909090908,0.0,0.0,0.0,0.0,0.0,0.0
2023-08,100.0,183.33333333333331,233.33333333333334,166.66666666666669,150.0,166.66666666666669,116.66666666666667,250.0,250.0,333.33333333333337,200.0,266.66666666666663,283.33333333333337,133.33333333333331,166.66666666666669,283.33333333333337,233.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09,100.0,155.55555555555557,177.77777777777777,122.22222222222223,133.33333333333331,188.88888888888889,188.88888888888889,144.44444444444443,144.44444444444443,188.88888888888889,155.55555555555557,66.66666666666666,177.77777777777777,166.66666666666669,77.77777777777779,177.77777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10,100.0,109.09090909090908,81.81818181818183,118.18181818181819,109.09090909090908,172.72727272727272,118.18181818181819,81.81818181818183,127.27272727272727,163.63636363636365,100.0,127.27272727272727,136.36363636363635,109.09090909090908,172.72727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
